Date,Open,High,Low,Close,Volume
2021-01-01,308.45,321.00,307.25,312.58,649583
2021-01-04,312.87,315.29,309.00,309.90,326474
2021-01-05,311.44,311.44,307.77,308.58,426937
2021-01-06,309.95,312.74,308.50,312.09,521872
2021-01-07,313.49,316.50,311.15,315.85,787143
2021-01-08,317.00,321.49,317.00,318.58,1009689
2021-01-11,321.00,321.56,317.50,318.25,741392
2021-01-12,320.00,320.00,316.65,317.59,495559
2021-01-13,319.90,320.00,315.20,316.75,309074
2021-01-14,317.00,317.25,313.80,314.24,270791
2021-01-15,315.10,315.20,312.01,313.03,199946
2021-01-18,312.03,314.00,311.11,311.80,186679
2021-01-19,311.10,312.75,309.50,311.23,311967
2021-01-20,310.00,310.00,306.30,307.04,992701
2021-01-21,309.25,311.50,306.90,310.75,217956
2021-01-22,311.75,311.75,308.02,308.76,137280
2021-01-25,309.00,311.45,308.00,308.96,190055
2021-01-26,309.50,311.50,308.25,309.96,159381
2021-01-27,310.50,311.90,309.50,310.93,184992
2021-01-28,310.01,310.99,307.00,307.50,500789
2021-01-29,307.02,309.50,307.00,307.49,625471
2021-02-01,308.00,314.20,307.20,312.74,938974
2021-02-02,313.00,317.55,310.10,312.05,795217
2021-02-03,313.40,315.50,312.00,313.05,336743
2021-02-04,317.00,317.00,313.10,315.25,817566
2021-02-08,315.25,315.25,308.00,309.10,584114
2021-02-09,310.00,310.74,307.00,307.30,638328
2021-02-10,307.31,309.00,305.00,306.80,413298
2021-02-11,308.01,308.01,303.00,303.85,538494
2021-02-12,304.00,306.00,301.00,301.65,505228
2021-02-15,303.00,307.20,303.00,304.03,421483
2021-02-16,306.00,309.99,304.52,307.98,471367
2021-02-17,310.00,310.50,309.00,309.91,328581
2021-02-18,305.00,305.00,301.11,302.02,934562
2021-02-19,302.00,305.15,301.00,301.66,390597
2021-02-22,302.51,303.50,297.26,298.82,574781
2021-02-23,300.60,302.57,298.80,302.16,245269
2021-02-24,300.10,303.50,298.00,298.67,1201358
2021-02-25,301.98,304.75,299.05,302.42,427809
2021-02-26,303.75,304.00,301.50,302.97,460977
2021-03-01,303.75,304.25,300.00,303.47,134017
2021-03-02,304.90,305.00,302.30,304.97,286434
2021-03-03,305.95,306.00,304.25,305.44,387757
2021-03-04,302.00,305.00,299.00,301.96,271536
2021-03-05,303.00,306.00,300.15,304.52,139324
2021-03-08,306.00,306.50,300.02,301.65,253508
2021-03-09,300.50,303.00,297.06,298.51,380244
2021-03-10,300.50,300.50,294.80,295.34,683100
2021-03-11,298.98,298.98,290.00,290.79,637275
2021-03-12,290.79,295.00,289.00,289.92,1007874
2021-03-15,292.00,294.98,280.51,288.31,424038
2021-03-16,288.65,290.01,285.55,289.70,468845
2021-03-17,290.90,293.99,290.89,292.02,222090
2021-03-18,293.00,293.50,284.53,285.72,535756
2021-03-19,288.99,290.50,284.50,286.15,221364
2021-03-22,285.00,292.49,285.00,290.34,323910
2021-03-24,289.00,293.47,286.00,286.48,581543
2021-03-25,287.95,290.00,283.05,283.77,391149
2021-03-26,285.00,285.00,282.00,282.93,429340
2021-03-29,283.75,284.95,276.00,278.34,377849
2021-03-30,278.01,279.00,272.75,273.14,567757
2021-03-31,277.80,279.00,273.51,277.32,585049
2021-04-01,278.44,298.11,278.44,298.04,2641568
2021-04-02,300.99,310.00,295.41,299.44,4363749
2021-04-05,299.99,311.00,294.04,305.43,1621471
2021-04-06,304.00,310.00,304.00,308.98,1532634
2021-04-07,309.90,309.99,299.00,301.84,1396705
2021-04-08,304.50,308.99,302.25,306.93,853478
2021-04-09,303.70,309.51,296.00,297.49,1289512
2021-04-12,297.50,297.50,290.99,291.51,303549
2021-04-13,292.98,292.98,285.31,287.75,492991
2021-04-14,288.00,289.50,285.00,287.82,568489
2021-04-15,288.93,292.50,287.86,288.97,420908
2021-04-16,287.95,290.00,286.17,289.10,328346
2021-04-19,287.99,294.90,284.75,291.47,262499
2021-04-20,294.70,297.45,291.12,293.17,227918
2021-04-21,294.00,303.60,294.00,298.14,414591
2021-04-22,304.00,308.00,300.75,301.80,757792
2021-04-23,302.95,303.00,296.50,299.59,328644
2021-04-26,298.90,307.50,293.00,306.21,1176119
2021-04-27,306.00,307.19,297.05,299.92,339092
2021-04-28,300.00,304.35,300.00,301.70,282967
2021-04-29,297.11,301.94,297.05,298.17,332299
2021-04-30,299.90,299.90,295.00,295.99,252900
2021-05-03,296.00,297.00,292.01,296.72,167317
2021-05-04,298.49,300.00,296.01,299.45,109782
2021-05-05,300.00,302.70,297.00,301.92,115871
2021-05-06,302.00,304.99,300.03,302.53,249948
2021-05-17,303.00,308.00,303.00,305.78,558596
2021-05-18,306.04,307.99,303.50,307.28,762513
2021-05-19,305.00,309.50,305.00,308.57,378166
2021-05-20,309.00,310.49,307.02,309.12,677473
2021-05-21,309.99,309.99,307.50,308.80,254654
2021-05-24,311.92,311.92,305.00,309.21,304722
2021-05-25,308.50,311.00,308.50,309.49,371075
2021-05-26,310.99,317.00,310.99,312.54,888822
2021-05-27,313.00,314.99,310.00,311.67,273032
2021-05-28,312.75,313.09,311.00,312.90,175561
2021-05-31,313.25,317.99,313.25,314.33,612881
2021-06-01,315.00,320.95,314.10,319.90,843516
2021-06-02,319.00,320.30,317.50,318.39,301955
2021-06-03,318.01,318.80,313.10,316.25,504818
2021-06-04,317.20,317.20,315.00,316.16,162966
2021-06-07,316.90,319.00,316.00,316.65,449860
2021-06-08,317.75,317.75,315.00,315.68,198785
2021-06-09,316.00,316.75,313.68,314.14,232339
2021-06-10,315.50,317.20,314.22,316.85,763884
2021-06-11,307.00,307.01,303.00,305.79,402995
2021-06-14,308.70,308.70,305.00,305.55,243899
2021-06-15,305.10,306.27,303.00,303.29,172899
2021-06-16,304.80,304.80,299.98,300.47,181979
2021-06-17,303.00,303.00,300.00,300.52,94465
2021-06-18,297.66,303.90,297.66,301.95,224282
2021-06-21,301.00,301.01,299.00,300.03,355199
2021-06-22,300.00,302.49,299.10,300.08,211107
2021-06-23,301.45,301.45,299.50,300.06,207223
2021-06-24,299.50,300.99,298.50,299.19,174004
2021-06-25,299.90,299.99,297.00,297.81,309800
2021-06-28,297.00,297.79,294.00,295.42,312922
2021-06-29,296.00,299.80,296.00,298.28,272984
2021-06-30,299.95,299.95,293.99,294.61,452839
2021-07-01,296.00,298.60,295.01,295.75,140653
2021-07-02,294.51,297.95,294.51,296.39,94415
2021-07-05,296.90,296.90,293.90,294.14,180774
2021-07-06,294.00,298.32,294.00,296.41,209421
2021-07-07,295.06,296.25,293.01,295.77,117577
2021-07-08,296.00,300.65,296.00,299.88,308437
2021-07-09,300.45,300.45,295.80,297.52,310542
2021-07-12,298.39,298.39,295.00,296.16,192780
2021-07-13,295.02,297.48,295.02,296.61,83548
2021-07-14,297.46,297.46,295.10,296.99,113292
2021-07-15,297.97,297.97,295.42,297.16,44004
2021-07-16,299.00,299.00,295.62,296.15,125738
2021-07-19,295.22,297.50,294.40,294.52,298143
2021-07-23,296.45,296.95,292.50,292.85,291064
2021-07-26,294.95,298.99,293.01,297.63,499381
2021-07-27,297.50,298.01,296.00,297.17,335817
2021-07-28,300.00,300.00,295.05,296.25,172826
2021-07-29,297.00,298.00,294.25,295.78,137554
2021-07-30,296.50,300.25,293.09,294.90,409432
2021-08-02,296.00,296.50,294.02,296.12,247308
2021-08-03,297.00,297.25,294.51,294.74,252567
2021-08-04,295.49,298.20,293.22,293.97,377091
2021-08-05,294.95,296.49,293.47,294.29,276197
2021-08-06,295.00,295.90,293.95,294.16,122041
2021-08-09,294.50,295.15,290.00,290.93,226172
2021-08-10,292.98,293.66,291.00,293.00,170215
2021-08-11,300.00,301.25,295.52,296.53,544627
2021-08-12,296.05,299.25,296.05,297.16,129319
2021-08-13,297.92,297.93,295.01,296.08,46506
2021-08-16,296.08,298.00,293.12,296.81,131067
2021-08-17,298.97,299.98,296.10,297.13,221350
2021-08-20,297.50,301.00,296.88,297.23,293303
2021-08-23,298.90,304.90,298.00,302.70,281150
2021-08-24,302.00,302.00,295.55,295.98,523742
2021-08-25,298.00,298.35,295.00,295.50,329582
2021-08-26,296.00,298.00,293.50,294.61,788960
2021-08-27,294.00,295.75,290.00,290.60,419839
2021-08-30,291.55,295.10,289.90,294.71,204336
2021-08-31,294.90,294.90,293.70,293.98,313446
2021-09-01,294.50,297.98,294.00,295.06,520295
2021-09-02,296.85,296.90,292.00,292.44,111690
2021-09-03,293.50,293.50,291.90,292.56,60783
2021-09-06,291.38,293.45,288.00,289.89,121212
2021-09-07,291.00,291.94,288.50,289.65,103951
2021-09-08,290.00,290.00,281.99,282.83,404231
2021-09-09,286.40,286.40,282.80,286.00,215610
2021-09-10,286.70,287.50,284.50,285.78,207841
2021-09-13,286.10,286.10,284.50,285.50,182368
2021-09-14,286.00,287.00,282.00,284.50,294893
2021-09-15,286.49,286.49,284.01,285.85,84457
2021-09-16,285.00,288.99,285.00,286.60,169320
2021-09-17,286.60,289.00,280.99,282.74,270961
2021-09-20,282.75,283.89,275.10,280.95,177230
2021-09-21,280.00,282.50,278.20,278.89,421662
2021-09-22,278.89,279.00,274.85,278.10,667557
2021-09-23,280.50,281.30,273.00,275.76,459353
2021-09-24,275.00,280.00,272.11,277.50,320385
2021-09-27,275.51,280.00,275.51,277.59,78481
2021-09-28,278.50,282.49,277.50,280.33,267999
2021-09-29,281.24,282.00,273.86,277.44,648231
2021-09-30,277.44,281.00,273.90,279.75,551114
2021-10-01,281.94,288.99,278.26,280.18,386754
2021-10-04,280.00,282.97,278.00,282.32,329797
2021-10-05,283.40,283.40,278.70,279.45,153664
2021-10-06,280.00,281.00,276.50,277.31,188705
2021-10-07,278.48,280.00,275.25,275.81,122238
2021-10-08,274.77,278.90,274.77,276.17,157297
2021-10-11,272.89,273.00,268.00,269.48,498042
2021-10-12,270.00,271.00,265.00,269.54,286749
2021-10-13,271.00,271.00,265.03,266.32,481197
2021-10-14,265.26,272.00,265.25,269.41,680215
2021-10-15,270.00,274.10,268.00,271.98,907130
